# Options: ../sw_all_against_all.x -v 2 -g 11 1 -c 47 -h -t 10 -d /Users/stefan/packages/MMseqs2/examples/DB.fasta -q mms_query_only.fasta
# Fields: s. seqid, q. seqid, s. start, s. len, q. start, q. len, score, bit score
M4KW32	A0A095ALB6	0	236	4	251	381	151
M4KW32	W1TUQ2	0	242	4	240	440	174
M4KW32	A0A142FCW2	12	224	30	231	344	137
M4KW32	W9RYS9	27	197	99	203	159	66
M4KW32	A0A0M3GZ92	1	237	4	237	442	175
M4KW32	A0A0T7CSE4	0	260	0	269	381	151
M4KW32	E7A488	0	245	9	241	505	199
M4KW32	E5XXL2	0	255	4	260	391	155
M4KW32	J6PSR2	0	225	4	232	249	101
M4KW32	A0A0A6L293	17	195	864	201	125	53
Q8AWH3	A0A0G2K4F4	42	94	73	95	116	49
Q8AWH3	U3F6T5	39	98	18	98	271	109
M4CKE4	M4CT87	102	123	159	138	154	64
A0A0C1M9X2	I0JKD0	5	1247	2	1230	1825	708
A0A0C1M9X2	A0A0E1AHS0	346	544	165	445	240	97
A8XL63	Q9N4B8	24	76	151	76	221	90
A8XL63	A0A0N5CXT3	24	88	17	90	181	74
I9H5M5	A0A0W7V0M3	0	636	0	637	1271	494
I9H5M5	R5J8N4	7	144	204	127	157	65
I9H5M5	S8QQG0	7	137	434	119	159	66
I9H5M5	K8G181	7	139	409	121	132	55
K7GL98	G7NGM3	0	285	0	305	725	284
A0A061I7C2	H0Z296	20	2330	1	2422	6599	2547
A0A061I7C2	Q7TN88	0	2376	0	2461	10414	4016
A0A0A8EBT8	A0A0R2TW81	52	99	45	99	117	50
A4FWM4	H1KZM7	0	201	4	202	692	271
D4FM25	A0A095ALB6	0	308	4	320	670	263
D4FM25	W1TUQ2	0	261	4	256	400	159
D4FM25	A0A142FCW2	0	244	8	256	351	140
D4FM25	W9RYS9	31	200	100	204	140	59
D4FM25	A0A0M3GZ92	12	229	11	228	298	119
D4FM25	A0A0T7CSE4	0	313	0	321	605	238
D4FM25	E7A488	0	289	9	293	352	140
D4FM25	E5XXL2	0	252	4	255	635	249
D4FM25	J6PSR2	10	237	307	234	276	111
D4FM25	A0A0A6L293	13	191	857	194	138	58
A0A146WZV6	O64847	33	93	12	94	147	61
G3WYG0	I6TVF4	221	159	358	152	117	50
A0A0V0IXA6	A9SKD4	404	383	33	363	490	193
A0A0V0IXA6	A0A125UPB5	402	444	1	430	481	190
A0A0V0IXA6	A0A059JHJ0	111	655	10	636	520	205
A0A0F2R461	B8FC91	0	250	0	251	668	262
C0F918	B4UEM2	0	116	0	123	144	60
A0A0K9QZU0	A0A0D2SLZ4	1919	984	1807	985	1098	428
A0A0K9QZU0	F4PLH8	2644	66	64	66	113	48
Q821C7	Q252K9	0	335	0	335	1448	562
R0F4B1	A0A0K8VRH7	12	280	11	256	314	126
R0F4B1	M4DPZ7	83	209	121	187	322	129
R0F4B1	V4TTK3	12	281	1	283	170	70
R0F4B1	A0A0D3E108	20	198	61	189	147	61
R0F4B1	E2RG46	10	285	130	291	222	90
A7H000	A0A0R2TW81	50	101	38	105	154	64
W5CDN8	A0A068GNM3	0	441	0	441	2299	890
A0A0M3FVU5	A0A095ALB6	2	254	4	253	343	137
A0A0M3FVU5	W1TUQ2	2	243	4	225	241	97
A0A0M3FVU5	A0A142FCW2	0	315	9	317	508	200
A0A0M3FVU5	W9RYS9	32	208	99	201	131	55
A0A0M3FVU5	A0A0M3GZ92	1	244	2	228	253	102
A0A0M3FVU5	A0A0T7CSE4	2	275	0	271	314	126
A0A0M3FVU5	E7A488	2	258	9	238	235	95
A0A0M3FVU5	E5XXL2	20	250	25	239	323	129
A0A0M3FVU5	J6PSR2	25	219	25	212	181	74
I2X9J3	O21970	0	418	0	418	2090	810
A1ALB2	A0A0S8J6R4	262	177	138	161	131	55
A1ALB2	A0A089WNU5	270	173	99	164	114	49
P68791	A0A0W7V0M3	8	657	1	599	627	246
P68791	R5J8N4	5	148	193	132	149	62
P68791	S8QQG0	7	255	427	215	175	72
P68791	K8G181	12	131	407	113	151	63
Q8XHG1	A0A0W7XYV8	219	252	518	247	123	52
Q8XHG1	Q0HXU4	2	174	31	176	208	85
Q8XHG1	A0A0F2I0C5	2	175	31	177	220	89
Q8XHG1	H6KT70	222	245	547	263	137	57
Q8XHG1	A0A0U3ICN5	241	93	583	95	112	48
G1L3N7	A0A0A3CRT6	286	374	83	397	149	62
G1L3N7	K0KW59	197	439	46	451	244	99
G1L3N7	A0A0A6JX86	484	176	130	188	116	49
A0A0P5HZH7	A9SKD4	79	358	52	353	114	49
A0A0P5HZH7	A0A125UPB5	84	323	27	316	123	52
A0A0C8VM59	B3DQ79	33	597	321	596	1736	673
A0A0C6EUG5	A0A0V8M4L9	0	420	0	420	1923	745
Q4ZJF0	K4FXT5	7	342	4	331	770	301
B4MR28	A0A0K8VRH7	803	185	36	171	124	52
B4MR28	M4DPZ7	840	207	113	190	111	47
B4MR28	E2RG46	736	260	96	237	147	61
A0A0A6L5H5	A0A0C6CSM8	68	66	213	67	111	47
A0A0A6L5H5	B9WK07	0	416	0	421	1863	722
M4DI78	A0A0K8VRH7	293	192	19	191	185	76
M4DI78	M4DPZ7	293	193	74	175	140	59
M4DI78	V4TTK3	292	192	8	187	115	49
M4DI78	A0A0D3E108	293	191	61	191	143	60
M4DI78	E2RG46	249	261	109	244	173	71
A0A087HI71	M4CT87	63	156	144	153	153	64
B2S328	A0A0A1XYM2	0	255	1	253	199	81
Q7X0E5	A0A0U0VDX1	0	258	0	258	1369	532
A0A101JBL9	C6XKQ8	6	88	3	88	135	57
W9SX54	V4LVB2	60	346	130	346	404	160
W9SX54	A0A078DJP8	68	345	164	362	558	220
M4CQC9	A0A0D3E0J9	70	368	63	387	763	299
M4CQC9	A0A0C3SGE9	198	171	170	168	176	72
A0A0R0EFG4	V4LVB2	136	434	45	432	451	178
A0A0R0EFG4	A0A078DJP8	10	570	3	527	1507	585
Q6NVF8	A0A0K8VRH7	86	286	11	256	268	108
Q6NVF8	M4DPZ7	72	300	52	256	222	90
Q6NVF8	V4TTK3	86	288	1	284	333	133
Q6NVF8	A0A0D3E108	92	188	59	192	171	70
Q6NVF8	E2RG46	0	423	46	423	2190	848
F6SXZ6	A0A0K8VRH7	405	119	152	116	184	75
F6SXZ6	M4DPZ7	405	119	188	121	111	47
A0A0R0CX29	A0A0L8ADY7	0	430	0	430	2079	805
M4F4D1	R0HSC1	294	256	165	253	189	77
M4F4D1	I1H1V8	242	289	212	276	205	84
A0A060SPZ0	A0A095ALB6	385	224	5	237	253	102
A0A060SPZ0	W1TUQ2	385	220	5	216	234	95
A0A060SPZ0	A0A142FCW2	404	205	38	210	217	88
A0A060SPZ0	W9RYS9	397	213	85	217	164	68
A0A060SPZ0	A0A0M3GZ92	399	212	17	211	241	97
A0A060SPZ0	A0A0T7CSE4	385	227	1	230	229	93
A0A060SPZ0	E7A488	400	209	24	204	258	104
